"","geocode","date","time","suspects","refuses","confirmado","deads","local","cases","comments","broadcast","deaths","uadm"
"263",24,"2020-02-29","19:05",3,2,0,0,"0",0,"0","0",0,"Rio Grande do Norte"
"264",25,"2020-02-29","19:05",1,1,0,0,"0",0,"0","0",0,"Paraíba"
"265",26,"2020-02-29","19:05",5,2,0,0,"0",0,"0","0",0,"Pernambuco"
"266",27,"2020-02-29","19:05",1,0,0,0,"0",0,"0","0",0,"Alagoas"
"267",29,"2020-02-29","19:05",9,4,0,0,"0",0,"0","0",0,"Bahia"
"268",31,"2020-02-29","19:05",17,3,0,0,"0",0,"0","0",0,"Minas Gerais"
"269",32,"2020-02-29","19:05",2,1,0,0,"0",0,"0","0",0,"Espírito Santo"
"270",33,"2020-02-29","19:05",19,8,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"271",35,"2020-02-29","19:05",91,38,0,0,"0",2,"0","0",0,"São Paulo"
"272",41,"2020-02-29","19:05",5,3,0,0,"0",0,"0","0",0,"Paraná"
"273",42,"2020-02-29","19:05",9,4,0,0,"0",0,"0","0",0,"Santa Catarina"
"274",43,"2020-02-29","19:05",27,10,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"275",50,"2020-02-29","19:05",2,0,0,0,"0",0,"0","0",0,"Mato Grosso do Sul"
"276",52,"2020-02-29","19:05",5,0,0,0,"0",0,"0","0",0,"Goiás"
"277",53,"2020-02-29","19:05",5,1,0,0,"0",0,"0","0",0,"Distrito Federal"
"278",23,"2020-03-01","15:05",6,2,0,0,"0",0,"0","0",0,"Ceará"
"279",24,"2020-03-01","15:05",3,2,0,0,"0",0,"0","0",0,"Rio Grande do Norte"
"280",25,"2020-03-01","15:05",1,1,0,0,"0",0,"0","0",0,"Paraíba"
"281",26,"2020-03-01","15:05",5,2,0,0,"0",0,"0","0",0,"Pernambuco"
"282",27,"2020-03-01","15:05",1,0,0,0,"0",0,"0","0",0,"Alagoas"
"283",29,"2020-03-01","15:05",9,4,0,0,"0",0,"0","0",0,"Bahia"
"284",31,"2020-03-01","15:05",17,3,0,0,"0",0,"0","0",0,"Minas Gerais"
"285",32,"2020-03-01","15:05",2,1,0,0,"0",0,"0","0",0,"Espírito Santo"
"286",33,"2020-03-01","15:05",19,8,0,0,"0",0,"0","0",0,"Rio de Janeiro"
"287",35,"2020-03-01","15:05",136,48,0,0,"0",2,"0","0",0,"São Paulo"
"288",41,"2020-03-01","15:05",5,3,0,0,"0",0,"0","0",0,"Paraná"
"289",42,"2020-03-01","15:05",9,4,0,0,"0",0,"0","0",0,"Santa Catarina"
"290",43,"2020-03-01","15:05",27,10,0,0,"0",0,"0","0",0,"Rio Grande do Sul"
"291",50,"2020-03-01","15:05",2,0,0,0,"0",0,"0","0",0,"Mato Grosso do Sul"
"292",52,"2020-03-01","15:05",5,0,0,0,"0",0,"0","0",0,"Goiás"
"293",53,"2020-03-01","15:05",5,1,0,0,"0",0,"0","0",0,"Distrito Federal"
"294",11,"2020-03-02","16:30",1,0,0,0,"0",0,"0","0",0,"Rondônia"
