"geocode","date","time","suspects","refuses","confirmado","deads","local","cases","comments","broadcast","deaths","uadm","uf"
25,2020-02-29,"19:05",1,1,0,0,"0",0,"0","0",0,"Paraíba","PB"
26,2020-02-29,"19:05",5,2,0,0,"0",0,"0","0",0,"Pernambuco","PE"
27,2020-02-29,"19:05",1,0,0,0,"0",0,"0","0",0,"Alagoas","AL"
29,2020-02-29,"19:05",9,4,0,0,"0",0,"0","0",0,"Bahia","BA"
31,2020-02-29,"19:05",17,3,0,0,"0",0,"0","0",0,"Minas Gerais","MG"
32,2020-02-29,"19:05",2,1,0,0,"0",0,"0","0",0,"Espírito Santo","ES"
33,2020-02-29,"19:05",19,8,0,0,"0",0,"0","0",0,"Rio de Janeiro","RJ"
35,2020-02-29,"19:05",91,38,0,0,"0",2,"0","0",0,"São Paulo","SP"
41,2020-02-29,"19:05",5,3,0,0,"0",0,"0","0",0,"Paraná","PR"
42,2020-02-29,"19:05",9,4,0,0,"0",0,"0","0",0,"Santa Catarina","SC"
43,2020-02-29,"19:05",27,10,0,0,"0",0,"0","0",0,"Rio Grande do Sul","RS"
50,2020-02-29,"19:05",2,0,0,0,"0",0,"0","0",0,"Mato Grosso do Sul","MS"
52,2020-02-29,"19:05",5,0,0,0,"0",0,"0","0",0,"Goiás","GO"
53,2020-02-29,"19:05",5,1,0,0,"0",0,"0","0",0,"Distrito Federal","DF"
23,2020-03-01,"15:05",6,2,0,0,"0",0,"0","0",0,"Ceará","CE"
24,2020-03-01,"15:05",3,2,0,0,"0",0,"0","0",0,"Rio Grande do Norte","RN"
25,2020-03-01,"15:05",1,1,0,0,"0",0,"0","0",0,"Paraíba","PB"
26,2020-03-01,"15:05",5,2,0,0,"0",0,"0","0",0,"Pernambuco","PE"
27,2020-03-01,"15:05",1,0,0,0,"0",0,"0","0",0,"Alagoas","AL"
29,2020-03-01,"15:05",9,4,0,0,"0",0,"0","0",0,"Bahia","BA"
31,2020-03-01,"15:05",17,3,0,0,"0",0,"0","0",0,"Minas Gerais","MG"
32,2020-03-01,"15:05",2,1,0,0,"0",0,"0","0",0,"Espírito Santo","ES"
33,2020-03-01,"15:05",19,8,0,0,"0",0,"0","0",0,"Rio de Janeiro","RJ"
35,2020-03-01,"15:05",136,48,0,0,"0",2,"0","0",0,"São Paulo","SP"
41,2020-03-01,"15:05",5,3,0,0,"0",0,"0","0",0,"Paraná","PR"
42,2020-03-01,"15:05",9,4,0,0,"0",0,"0","0",0,"Santa Catarina","SC"
43,2020-03-01,"15:05",27,10,0,0,"0",0,"0","0",0,"Rio Grande do Sul","RS"
50,2020-03-01,"15:05",2,0,0,0,"0",0,"0","0",0,"Mato Grosso do Sul","MS"
52,2020-03-01,"15:05",5,0,0,0,"0",0,"0","0",0,"Goiás","GO"
53,2020-03-01,"15:05",5,1,0,0,"0",0,"0","0",0,"Distrito Federal","DF"
11,2020-03-02,"16:30",1,0,0,0,"0",0,"0","0",0,"Rondônia","RO"
13,2020-03-02,"16:30",1,1,0,0,"0",0,"0","0",0,"Amazonas","AM"
15,2020-03-02,"16:30",2,2,0,0,"0",0,"0","0",0,"Pará","PA"
21,2020-03-02,"16:30",1,1,0,0,"0",0,"0","0",0,"Maranhão","MA"
22,2020-03-02,"16:30",1,2,0,0,"0",0,"0","0",0,"Piauí","PI"
23,2020-03-02,"16:30",6,6,0,0,"0",0,"0","0",0,"Ceará","CE"
24,2020-03-02,"16:30",2,6,0,0,"0",0,"0","0",0,"Rio Grande do Norte","RN"
25,2020-03-02,"16:30",2,1,0,0,"0",0,"0","0",0,"Paraíba","PB"
26,2020-03-02,"16:30",4,10,0,0,"0",0,"0","0",0,"Pernambuco","PE"
